City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,sajir,25.1825,44.5996,17.56,24,68,2.52,SA,12-18-2023
79,belmonte,-15.8631,-38.8828,28.78,61,24,4.47,BR,12-18-2023
80,fort bragg,35.139,-79.006,13.82,57,0,3.58,US,12-18-2023
81,al jawf,29.5,38.75,15.65,31,52,2.57,SA,12-18-2023
82,hami,42.8,93.45,-12.82,59,3,3.23,CN,12-18-2023
83,iskateley,67.6803,53.1512,-13.32,91,100,8.49,RU,12-18-2023
84,trincomalee,8.5711,81.2335,26.52,85,100,6.53,LK,12-18-2023
85,atafu village,-8.5421,-172.5159,29.03,74,60,4.56,TK,12-18-2023
86,patterson,37.4716,-121.1297,9.5,84,92,2.54,US,12-18-2023
87,kapa'a,22.0752,-159.319,21.18,89,40,8.23,US,12-18-2023
88,swainsboro,32.5974,-82.3337,11.94,62,0,5.66,US,12-18-2023
89,tsiombe,-25.3,45.4833,24.59,69,1,4.96,MG,12-18-2023
90,ghat,24.9647,10.1728,20.77,17,9,4.97,LY,12-18-2023
91,ust-nera,64.5667,143.2,-37.45,98,85,1.45,RU,12-18-2023
92,anadyr,64.75,177.4833,-20.72,84,60,5.0,RU,12-18-2023
93,klaksvik,62.2266,-6.589,4.51,75,54,22.04,FO,12-18-2023
94,ushuaia,-54.8,-68.3,15.79,70,49,1.69,AR,12-18-2023
95,jinchang,38.4953,102.1739,-12.35,81,3,1.03,CN,12-18-2023
96,stornoway,58.2093,-6.3865,6.98,90,40,7.72,GB,12-18-2023
97,aral,40.5156,81.2636,-3.82,43,0,1.61,CN,12-18-2023
98,ketchikan,55.3422,-131.6461,2.99,93,100,1.54,US,12-18-2023
99,le port,-20.9373,55.2919,28.0,89,100,1.63,RE,12-18-2023
100,itupiranga,-5.1347,-49.3267,27.18,51,68,2.27,BR,12-18-2023
101,choibalsan,48.0667,114.5,-27.15,97,98,2.43,MN,12-18-2023
102,yelizovo,53.1873,158.3805,-1.92,50,75,10.0,RU,12-18-2023
103,plouzane,48.3833,-4.6167,12.03,85,100,5.14,FR,12-18-2023
104,polyarnyy,69.1989,33.4478,-4.07,84,26,9.11,RU,12-18-2023
105,hirara,24.8,125.2833,20.15,88,100,2.06,JP,12-18-2023
106,buala,-8.145,159.5921,24.83,80,77,1.98,SB,12-18-2023
107,hotan,37.0997,79.9269,-1.16,38,0,2.51,CN,12-18-2023
108,xingcheng,40.6167,120.7167,-14.17,92,26,2.57,CN,12-18-2023
109,paso de los libres,-29.7131,-57.0899,23.02,94,100,10.29,AR,12-18-2023
110,ta`u,-14.2336,-169.5144,27.02,80,100,3.81,AS,12-18-2023
111,privolzhsk,57.3808,41.2886,-2.16,92,100,4.4,RU,12-18-2023
112,kralendijk,12.15,-68.2667,29.99,74,75,7.2,BQ,12-18-2023
113,panaba,21.2833,-88.2667,23.93,51,60,4.98,MX,12-18-2023
114,gulf shores,30.246,-87.7008,13.52,70,0,2.57,US,12-18-2023
115,opuwo,-18.0607,13.84,32.75,23,100,5.18,NA,12-18-2023
116,kailua-kona,19.6406,-155.9956,21.44,79,0,1.54,US,12-18-2023
117,rundu,-17.9333,19.7667,26.62,51,93,1.53,NA,12-18-2023
118,cabo san lucas,22.8909,-109.9124,25.42,52,0,1.54,MX,12-18-2023
119,harper,4.375,-7.7169,29.0,66,7,4.07,LR,12-18-2023
120,susuman,62.7833,148.1667,-34.33,100,94,0.3,RU,12-18-2023
121,la ronge,55.1001,-105.2842,-3.86,63,20,3.09,CA,12-18-2023
122,port mathurin,-19.6833,63.4167,26.5,82,25,7.88,MU,12-18-2023
123,sinabang,2.4803,96.3801,26.14,84,100,0.94,ID,12-18-2023
124,mocimboa,-11.3167,40.35,28.28,73,45,4.86,MZ,12-18-2023
125,mountain home,43.133,-115.6912,-2.29,93,100,0.0,US,12-18-2023
126,kubinka,55.5839,36.69,2.0,99,89,3.76,RU,12-18-2023
127,tiksi,71.6872,128.8694,-22.22,96,100,5.9,RU,12-18-2023
128,college,64.8569,-147.8028,-11.97,86,100,0.0,US,12-18-2023
129,suomussalmi,64.8869,28.9078,-2.62,94,80,4.02,FI,12-18-2023
130,gadzhiyevo,69.2551,33.3362,-4.54,85,24,9.49,RU,12-18-2023
131,ilulissat,69.2167,-51.1,-8.99,62,75,5.66,GL,12-18-2023
132,gonaives,19.45,-72.6833,30.23,55,57,2.32,HT,12-18-2023
133,masuguru,-11.3667,38.4167,33.36,35,89,1.0,TZ,12-18-2023
134,selty,57.3132,52.1345,-4.62,96,100,3.19,RU,12-18-2023
135,alofi,-19.0595,-169.9187,23.94,94,16,2.57,NU,12-18-2023
136,east london,-33.0153,27.9116,20.52,73,75,4.12,ZA,12-18-2023
137,itoman,26.1247,127.6694,21.43,81,75,4.63,JP,12-18-2023
138,port saint john's,-31.6229,29.5448,21.56,90,100,3.96,ZA,12-18-2023
139,mahavelona,-17.6848,49.5087,27.99,84,57,1.81,MG,12-18-2023
140,bol,13.4586,14.7147,25.96,48,32,2.27,TD,12-18-2023
141,pahrump,36.2083,-115.9839,15.17,20,91,2.65,US,12-18-2023
142,finspang,58.7058,15.7674,8.29,88,100,5.07,SE,12-18-2023
143,chos malal,-37.3781,-70.2709,18.57,24,1,4.73,AR,12-18-2023
144,salalah,17.0151,54.0924,26.05,53,0,1.03,OM,12-18-2023
145,hithadhoo,-0.6,73.0833,28.5,76,47,3.62,MV,12-18-2023
146,mermoz boabab,14.7065,-17.4758,28.31,54,100,5.95,SN,12-18-2023
147,meadow lakes,61.6247,-149.6011,-2.01,85,100,2.06,US,12-18-2023
148,olinda,-8.0089,-34.8553,28.85,70,75,4.12,BR,12-18-2023
149,yatou,37.15,122.3833,-7.48,78,92,1.54,CN,12-18-2023
150,rio gallegos,-51.6226,-69.2181,14.73,45,90,9.83,AR,12-18-2023
151,luderitz,-26.6481,15.1594,23.67,54,5,12.19,NA,12-18-2023
152,vilyuchinsk,52.9306,158.4028,-1.85,74,92,4.63,RU,12-18-2023
153,shumikha,55.2261,63.2961,-13.17,95,53,4.36,RU,12-18-2023
154,daru,-9.0763,143.2092,26.12,88,100,1.87,PG,12-18-2023
155,copala,16.65,-98.9833,28.64,62,0,1.52,MX,12-18-2023
156,ar ruways,24.1103,52.7306,22.51,60,0,4.66,AE,12-18-2023
157,sinop,41.7711,34.8709,4.16,68,99,1.07,TR,12-18-2023
158,rio grande,-32.035,-52.0986,31.06,83,98,6.49,BR,12-18-2023
159,sudislavl',57.8817,41.7083,-2.73,95,100,3.6,RU,12-18-2023
160,iqaluit,63.7506,-68.5145,-30.07,89,84,2.18,CA,12-18-2023
161,laminusa,5.5549,120.9136,27.51,81,100,1.2,PH,12-18-2023
